Time,CPI,ICBC,CCB
2015/1/30,-0.02088773,-0.00534759,-0.01111111
2015/2/2,0.01912568,-0.00181488,-0.00645161
2015/2/3,0.0445946,0.01454546,0.01463415
2015/2/4,-0.04081633,-0.00357782,-0.00159236
2015/2/5,-0.03856041,-0.01219512,-0.01692308
2015/2/6,-0.00398936,-0.00531915,-0.01251956
2015/2/9,0.00266667,0.00180832,0.00638978
2015/2/10,0.00265957,0.01090909,0.00318979
2015/2/11,0.00263158,-0.00361664,-0.01424051
2015/2/12,0.00394737,0.00359712,0.00955414
2015/2/13,-0.00130719,0.00713013,0.0015625
2015/2/16,-0.00391134,-0.00527241,-0.00155763
2015/2/17,0.01570681,0.008881,0.00782473
2015/2/18,-0.0063857,-0.00350877,-0.00155039
2015/2/23,-0.00512164,-0.00175131,0.0046729
2015/2/24,0.02199224,-0.00175131,-0.00462963
2015/2/25,0.00252525,-0.01565217,-0.00925926
2015/2/26,0.02386935,0.01601424,0.01564945
2015/2/27,0.00123609,-0.00527241,-0.00769231
2015/3/2,-0.02305825,-0.00525394,-0.00765697
2015/3/3,-0.01625,-0.02276708,-0.02607362
2015/3/4,-0.03069054,-0.0125448,-0.00634921
2015/3/5,-0.00664011,-0.01092896,-0.00801282
2015/3/6,-0.01710526,0.00554529,0.00487013
2015/3/9,0.02445652,0.01858736,0.0195122
2015/3/10,-0.02677376,-0.00549451,-0.00641026
2015/3/11,0.00277778,-0.01645338,-0.00645161
2015/3/12,0.0166205,0.02238806,0.0228013
2015/3/13,0.01349528,0.01092896,0.00476191
2015/3/16,0.02150538,0.00540541,0.0015748
2015/3/17,-0.0129199,-0.00178571,-0.00625
2015/3/18,-0.00518135,0.01618705,0.00625978
2015/3/19,-0.03741936,0.00706714,0
2015/3/20,-0.01447368,0.00707965,0.00934579
2015/3/23,-0.00529101,-0.00350263,-0.00154321
2015/3/24,-0.03191489,-0.01238938,-0.00931677
2015/3/25,-0.01089918,-0.0088968,0.00157233
2015/3/26,-0.01385042,0.00179856,0.00630915
2015/3/27,-0.0125,-0.01785714,-0.00629921
2015/3/30,-0.00958904,0.00713013,-0.00465116
2015/3/31,-0.00806452,-0.00521739,-0.01529052
2015/4/1,0.00672043,0.00699301,0.00620155
2015/4/2,-0.01451187,0.00343053,0.00613497
2015/4/8,0.0546875,0.01851852,0.03143713
2015/4/9,-0.03337306,0.0016129,0.00285714
2015/4/10,-0.01549464,-0.00633914,-0.00280899
2015/4/13,-0.0011919,0.04905063,0.07594937
2015/4/14,0.01363073,-0.00603318,-0.01184211
2015/4/15,-0.02158273,0.02827381,0.04533333
2015/4/16,0.04490291,0.01610542,0.00515464
2015/4/17,-0.02528736,-0.03276353,-0.02685422
2015/4/20,-0.02283654,-0.02898551,-0.0448718
2015/4/21,0.00364078,0.03720238,0.03466667
2015/4/22,0.00710901,0.00867052,-0.01156812
2015/4/23,-0.01179245,-0.02714286,-0.01928021
2015/4/24,0.00845411,-0.00877193,-0.00522876
2015/4/27,0.02245863,0.01037037,0.00131406
2015/4/28,-0.01271676,0.00144928,0.00910273
2015/4/29,-0.0234192,0,-0.00902062
2015/4/30,0.01438849,-0.00295858,-0.00788436
2015/5/4,0.00591017,-0.00594354,-0.00131579
2015/5/5,-0.06752037,-0.02686567,-0.03394256
2015/5/6,0.00753769,-0.00764526,0
2015/5/7,-0.01007557,0,-0.00546448
2015/5/8,0.00248139,0.00925926,0.00544959
2015/5/11,0.01341463,-0.0030303,-0.01073826
2015/5/12,-0.0120919,-0.00763359,-0.00949797
2015/5/13,-0.02181818,-0.01671733,-0.00675676
2015/5/14,0.00625,-0.00460123,-0.02141901
2015/5/15,0.0249066,0.01070336,0.00949797
2015/5/18,-0.00367197,0.00151515,-0.01466667
2015/5/19,0.01833741,0.01361573,0.01209677
2015/5/20,-0.00712589,-0.00296296,0
2015/5/21,-0.00481928,-0.00740741,-0.00263158
2015/5/22,0.03966346,0.00591716,0.0078329
2015/5/26,-0.05869797,-0.00714286,0.00126582
2015/5/27,-0.02947846,-0.00431655,0.00633714
2015/5/28,-0.0432243,-0.03165468,-0.04135338
2015/5/29,-0.01358025,0.01656627,0.03178808
2015/6/1,0.0325,0.02095808,0.01295337
2015/6/2,-0.01447527,0.00444444,-0.0012837
2015/6/3,-0.00735294,-0.00444444,0.01037614
2015/6/4,-0.00744417,0.00148368,0.00764331
2015/6/5,0.01477833,-0.02359882,-0.02380952
2015/6/8,0.01831502,0.01363636,0.01675258
2015/6/9,-0.03712575,-0.01195815,-0.01526718
2015/6/10,-0.00870647,-0.0106383,-0.01548387
2015/6/11,0.00864198,-0.00754148,-0.0025974
2015/6/12,0.02058111,0.01059002,0.00910273
2015/6/15,-0.03928571,-0.01212121,-0.01171875
2015/6/16,-0.0425,-0.01843318,-0.02614379
2015/6/17,0.01697128,0.00312013,0.01211306
2015/6/18,-0.00909091,-0.00624025,-0.00266667
2015/6/19,-0.03722721,-0.009375,-0.00658762
2015/6/22,0.01447368,0.01255887,0.01192053
2015/6/23,0.002574,0.02790698,0.0095498
2015/6/24,-0.00127227,0.01204819,-0.00405405
2015/6/25,-0.01794872,-0.01470588,-0.02150538
2015/6/26,-0.01466667,-0.0060241,-0.0260989
2015/6/29,-0.03238866,-0.01612903,-0.02668539
2015/6/30,0.01778386,0.00325733,0.02906977
2015/7/2,-0.00810811,-0.00646204,-0.00981767
2015/7/3,-0.03296703,0.00485437,-0.00282885
2015/7/6,-0.03098592,-0.0224,-0.03521127
2015/7/7,-0.05685131,-0.02777778,-0.02578797
2015/7/8,-0.06515152,-0.05172414,-0.03181818
2015/7/9,0.03166403,0.03370787,0.0192
2015/7/10,0.04976672,0.0053286,0.01242236
2015/7/13,0.01632048,0.02664298,0.01230769
2015/7/14,0.01940299,-0.01038062,-0.01960784
2015/7/15,-0.00438597,-0.01565217,-0.00917431
2015/7/16,0.02857143,0.01067616,0.00931677
2015/7/17,0.00289855,-0.0087108,0.00460123
2015/7/20,-0.02698864,-0.00351494,-0.00911854
2015/7/21,0.02745665,-0.00176678,-0.00303951
2015/7/22,0.01144492,-0.01065719,-0.00306749
2015/7/23,0.0128388,0.01268116,0.00461539
2015/7/24,-0.0070922,0.0018018,-0.00615385
2015/7/27,-0.03751804,-0.00910747,-0.01567398
2015/7/28,0.01059002,-0.00552486,-0.00318471
2015/7/29,-0.01622419,0.00552486,0
2015/7/30,-0.03560831,-0.01651376,-0.01100629
2015/7/31,-0.00150542,-0.00558659,-0.00783699
2015/8/3,-0.01225115,0.00188679,0.00477707
2015/8/4,-0.00916031,0,0.00316957
2015/8/5,0.01241525,0.00754717,-0.01092044
2015/8/6,0.001579,0.0037594,-0.00784929
2015/8/7,-0.03006006,0.0093633,0.00786164
