,82M101M39M18,82M101M39M24,82M101M39M19,82M101M39M21,82M101M39M20,82M101M39M22,82M101M39M23,82M101M39M1,82M101M39M3,82M101M39M2,82M101M39M6,82M101M39M7,82M101M39M5,82M101M39M4,82M101M39M9,82M101M39M8,82M101M39M12,82M101M39M13,82M101M39M11,82M101M39M10,82M101M39M14,82M101M39M15,82M101M39M17,82M101M39M16
2018-01-01,0.3455715515870721,0.4339390759133477,0.29426931267841244,0.9084468568467045,0.4147070555082142,0.42699424031634703,0.5575297297847144,0.6148662651628882,0.7812100380877978,0.30164418822339734,0.3948464110324023,0.5077832034436223,0.7517432609491108,0.8595630981452972,0.6466806996288381,0.7529025579476195,0.1292633426390314,0.583202468712846,0.5828945746811405,0.7832605397775143,0.10869538101269725,0.49740897326750827,0.3009306179401584,0.7113365362793401
2018-01-02,0.387869388126137,0.22922540035650285,0.23285352313474011,0.9850992174378389,0.15392651281320385,0.28129792420863303,0.08414366694114915,0.5814983902176437,0.7047945444037403,0.10601906461139819,0.21552831485265964,0.29681545693339473,0.35305384751062424,0.8813720868645806,0.5170250947530911,0.4256451169866396,0.3932198348143675,0.15842700424857128,0.3160355918628399,0.5605374988601881,0.0905368758311488,0.027412139825554682,0.16332119958956737,0.08979566276336337
2018-01-03,0.25601900422852003,0.22922540035650285,0.09720742021564215,0.9858486540288319,0.11836393960633315,0.2942546215330992,0.08414366694114916,0.5240969336084426,0.7067062498946437,,0.38822385243522106,,0.3530538475106242,,0.7681983505395059,,0.39248779782831666,0.22356545035230155,,,,0.027412139825554682,0.20018352278945017,0.08979566276336337
2018-01-04,0.8389319717285543,,,,,,,,0.9564969288091988,,0.8917883471186692,,,,0.9322234338633051,,0.3884224671757348,0.9695073843502621,,,,,,
2018-01-05,0.5921936971342268,0.6898084472576557,0.46218156852294173,0.8791788982382549,0.8817511859097021,0.306296200904289,0.3133959035899782,0.45916802603409373,0.7833393843574767,0.23693701255720245,0.7721938712398928,0.5523849438008381,0.5669409595578982,0.7467193413118313,0.48855866469042136,0.6927083454023004,0.4014658766980672,0.7782941093559248,0.5427802539835644,0.7596159383331312,0.6004653049613429,0.40153708017245804,0.7770305532779365,0.48744204845804834
2018-01-06,0.18563880070977046,0.5212687943894645,0.5688405456238211,0.8938469446137747,0.518078790086694,0.21782737798709656,0.05352459103312457,0.6455031145525743,0.8075563154959274,0.055201868916885166,0.43484246978186536,0.6818820807872509,0.6463475253512394,0.6020860295197972,0.4326887464845179,0.8739459712533518,0.044304477717961144,0.3174077315501212,0.6917030012058811,0.7135006582633112,0.2702969556163014,0.21232053657763497,0.7007946737420355,0.10935323307020792
2018-01-07,0.39897768123906824,0.5865875190370483,0.659904316115622,0.8513858535520826,0.5584666217816526,0.5128769385986734,0.7558887850355238,0.817196480556638,0.8297704655099613,0.5488232423347295,0.4679396387466341,0.711099089924739,0.8580760663437679,0.6812532649077271,0.44752466260351803,0.9281360411404861,0.04227123995414397,0.33796451959911955,0.7243944109060435,0.7455407597252675,0.3223769341407642,0.25122937477663526,0.1634469416594692,0.06916083480328211
2018-01-10,0.1649607139135464,0.7496599185770085,0.5901925273139869,0.757203743359238,0.7601193305853702,0.3050552015807091,0.5110934342220762,0.5220611089621994,0.8642969936201779,0.668164956854125,0.672532758411459,0.4214163721310037,0.8692402022628621,0.80254966544136,0.5732856780115619,0.6336751843509008,0.3371400961090335,0.35703789213190895,0.5521856619305157,0.6653436989074417,0.49979793786162763,0.13566181579109618,0.23188117807884584,0.14956694668426476
2018-01-11,0.2172359669760018,0.7007975383790986,0.7848683612831385,0.7808750162672558,0.80550964041577,0.22613419865281165,0.4918498511232148,0.5659032269379797,0.7820317001834511,0.560941830124023,0.6330119736869358,0.4996589386912319,0.794880417872176,0.7879082040701275,0.6430049224203098,0.6236381275679386,0.3202478753644823,0.6408287257824535,0.6021276871844161,0.8663109653879355,0.47227832785278,0.45093260924848383,0.5039291510755415,0.42733247690040066
2018-01-12,0.8063566548140472,0.3317964687963952,0.5546615327841061,0.9216715497834976,0.7958577131431835,0.25495229028168154,0.579119284961632,0.5331005050587945,0.5661381818659064,0.3944118368516547,0.40271184560906587,0.2678409185228287,0.4604830601295819,0.4749936559055903,0.5080675647538259,0.5744468210634509,0.19126361424369479,0.4001575133165155,0.5962936395583377,0.777773040414494,0.3237653059653542,0.1430823737572451,0.5037920256366359,0.1648134998004979
