,diff_F1,diff_F2,diff_F3,diff_F4,diff_F5,diff_F6,diff_F7,diff_F8,diff_F9,diff_F10,diff_F11,diff_F12,diff_F13,diff_F14,diff_F15,diff_F16,diff_F17,diff_F18,diff_F19,diff_F20,diff_F21,diff_F22,diff_F23,diff_F24
2018-01-04,96.81471824732083,89.99848849111407,102.3645457404647,104.61954472591859,96.5578764950519,104.58306518411014,93.10111860925613,97.63558193013746,99.74002882634348,97.56156063067239,96.00823139642303,92.97061444560252,103.18556723262164,98.1782078659996,93.13245422796693,96.33459637203065,95.39418827993364,101.14521809768186,100.87313977125366,95.86693896462276,92.73814424701057,96.25446622882038,100.08637407425867,95.91928446057152
2018-01-05,-12.232985982057647,-16.36577812102373,-11.825716374176432,-10.151772545333541,-10.522200859157612,-9.85376534864572,-13.342554518447352,-11.855939094590077,-13.890122291060617,-10.79896596209607,-12.07443024192978,-13.04424232911705,-11.339645863311294,-11.052094591848892,-13.03809457238594,-12.725953854058348,-15.029969053408983,-11.873891697569636,-8.82353482489346,-10.864629056942512,-17.099342814569706,-12.805116909871375,-11.63951991463781,-11.84218930995036
2018-01-06,81.78929282912563,75.30469690503085,79.33176715051663,85.82494910939516,81.13298090209045,84.997678137262,77.45322897000553,79.98596550711855,75.83778007168819,81.29555473795071,79.65361366811116,77.70809227058041,81.16858294182838,81.70718300675311,78.48181194126145,80.09382902028021,78.71390012747715,79.6807052557458,85.40443398830908,80.56226443734425,75.34954586975431,79.52733771120651,82.72772878052703,80.20650540276212
2018-01-07,42.59933271322059,39.4609239495464,43.417380009764884,47.21304211005748,43.7024752511005,45.8074272548604,41.57112285260199,45.260545663179336,37.79643332391764,43.621931794849786,43.0663991623389,40.09589766548216,42.868166303653815,43.49993972012537,40.33700152618368,42.40143630215373,42.19339362541163,41.97181312259841,43.99517363784974,42.17173841583757,38.23105919951744,42.37004637038809,44.695537111639204,41.996629687587344
2018-01-08,111.36233472046669,112.9086800696826,111.62996666986217,119.21495210643657,112.21367826224653,116.85456602235296,108.89419019066992,113.2033660753532,103.80074940338966,112.32643005836074,110.8148219396604,108.17284257591118,112.87652702220193,118.70903114827239,109.46090797984778,112.13312486742203,110.77598696219123,110.67630566734375,114.88190385559207,113.59581857035687,107.15202521762612,111.39982454258337,113.93099162734694,109.8018671982977
2018-01-09,124.98856676474685,118.00514009714325,124.85316919114467,132.68175138013734,125.5016380564399,130.10715079768198,124.1392617884441,126.00392389332276,115.79032275363558,125.54273521690196,124.26065892881826,121.13617025608927,126.32522921429087,125.79113224633838,122.71651806961141,124.60459170061606,124.00785975597557,123.85397294586139,126.8035167064696,123.64868388465365,120.8699662462454,126.088404909467,127.70537991199656,123.66357083333672
2018-01-10,78.33465930624968,72.83075372439713,78.23350151386451,84.6561621411413,79.75192756814879,82.8631415615766,75.83402462334237,78.83654832562468,71.70285571498418,79.23146229724355,78.15724813457521,75.7323583455202,80.11008474031695,85.24792559647722,77.02211443230932,78.37439526039613,77.83566234674541,78.026782293425,79.95228162664844,84.52384735751659,76.63130760439516,78.82705842769317,81.25799884029843,77.59706249138883
2018-01-11,-14.90913210244519,-17.706947829903612,-14.55811250637248,-13.090280770280515,-13.183294650322102,-13.682174132577169,-18.032145138975352,-15.771883590594863,-16.049430330306045,-14.183315719140996,-15.636526903284214,-16.768114881392652,-13.70784813354151,-13.49500739485466,-15.145806937308153,-15.916230351129311,-16.868322553809342,-15.550073545073143,-14.313619425416665,-14.479691784106524,-19.684288190474238,-16.531312646464976,-15.337990225040546,-15.418075157211616
2018-01-12,-20.456295641356586,-23.026213063494453,-21.118704889955957,-18.31976210253314,-18.770465083840882,-18.439761427370012,-23.147523329752254,-20.36689551251366,-20.887683850393437,-18.099211690240267,-19.563177894149103,-20.227328315433045,-18.612327505703426,-18.67394551301832,-20.592422500421158,-20.41726434696573,-21.789677249140396,-18.17938088194869,-18.132819320741273,-18.121711695395405,-23.10017179406837,-18.709216889629825,-18.763675029273287,-19.089593013417712
2018-01-13,-43.642870094145174,-45.58224093327534,-42.217933954702026,-42.359030076944336,-40.3509967927481,-42.590092460421126,-45.39559041284422,-42.4240343516983,-43.72778004624404,-41.915167329696885,-43.18793824582806,-43.99591532225051,-41.66083144594247,-42.486856807203985,-43.30812053278759,-43.533337349216616,-44.27227207006661,-42.637757824696976,-40.92679620909539,-41.72278964196334,-47.64942867743663,-43.73190874162101,-42.645946436004856,-42.27425245371022
2018-01-14,-36.8918329153894,-37.890421545786914,-36.555639015806,-35.394914994077766,-33.81844761670868,-35.45919236681157,-37.34056765834763,-35.516740816860185,-35.79629461457449,-34.93557738353729,-35.903182889167844,-37.3341256467187,-34.59275381000205,-35.425495367771845,-35.73445753128594,-35.72977429725201,-38.10719831612606,-35.99080529601841,-35.074373418678434,-35.53761900858851,-42.07256509062226,-37.09917571436153,-35.31908313560216,-36.36422281101922
2018-01-15,34.31568013319599,30.264546100694734,33.65940803721613,38.23487930965013,34.69227369472747,36.98567615515331,32.20879764636593,34.50850330280437,31.20654848811452,35.7449059653012,34.323137751592405,32.20271986248396,35.20363966559318,35.69965981729124,32.83699125065941,33.36160880108997,37.210876331294706,33.56711756994587,34.384309524048454,33.99111137797395,28.397023855286164,33.23127547392759,34.85523005473528,32.87076812552269
2018-01-16,-19.53761029719486,-20.542958892184853,-18.198147619096584,-17.612842697152207,-18.049876317679097,-18.300564752280632,-20.57313590198641,-18.797884655674096,-20.90653429073921,-18.90377587356443,-19.66779932223409,-21.61856865322315,-19.078533513511793,-19.380754973857126,-21.421245831578137,-21.602382896324492,-21.406711987964286,-20.576347835611223,-18.67597063459496,-20.002653658934403,-24.937567743689055,-21.605487435908408,-20.57844549276221,-21.932338872910165
2018-01-17,83.84301482041857,79.3773763380563,83.2674208855828,88.70632728600654,83.62720146166667,87.22236010055518,82.0023497761027,83.05272408712305,79.93945479114741,84.54969192017539,83.30229311884743,80.8212385451149,84.3635661911643,85.59826428771491,81.23159759147451,83.41218427071357,81.41115990913198,83.28303917239407,83.77943624755217,83.25197104092317,78.02393738141745,82.56621391970583,85.11312072269835,81.31312965552765
2018-01-18,-27.013355706852174,-27.882719136124585,-26.470607540995022,-25.64510583706117,-25.289961504187584,-26.07618559658961,-27.578062955132033,-27.49444610229955,-26.864062023637207,-26.376415588406996,-27.1792809324912,-28.279955060248547,-26.247193154446006,-26.49978088967308,-27.82471820426654,-27.526018578973513,-28.169396902321363,-27.270161170379097,-25.785645684076037,-26.936193844357696,-31.554382189772923,-26.957213882899673,-26.545014211053918,-26.922068806279494
2018-01-19,-59.16656245539435,-58.39167988696468,-58.49678468400862,-57.92906138688408,-56.59891019818328,-58.65348425727394,-59.81662384024482,-58.58600754531346,-58.5405734780718,-58.35342016415293,-58.200119674494296,-59.75678968587111,-57.62913880653719,-58.20411241941748,-58.584660363277585,-59.69483951266124,-61.151200917463136,-59.053499088770366,-57.86651616059132,-59.5126102063698,-64.64521972717961,-59.515643046136816,-59.266562223744,-58.98599530823213
2018-01-20,-6.617203200101205,-9.191737395715588,-7.3304168490188735,-5.334565921548724,-5.573246086288136,-5.652066387292136,-8.503163658600794,-7.543413829534763,-8.102356284497546,-5.77945865036779,-7.353918847309369,-7.5567083258893915,-5.224869540511656,-6.313985672735185,-7.664320382431357,-7.903160199492816,-8.961682378170034,-5.867352273165555,-5.014884177546888,-5.384407398441716,-11.238450703310702,-6.400623842460374,-6.2340614707940505,-6.465612277161561
2018-01-21,-56.41004739302094,-56.26539569990661,-56.22493069519832,-55.37199498959605,-53.60274942489711,-56.497079835475525,-57.18098720801152,-56.57075089265771,-56.60817070889918,-55.54372728764071,-56.41546146508441,-57.92649558255148,-55.872597941747124,-56.35819437380598,-57.65175316058312,-57.62561762812389,-56.80308387190189,-57.349318963639625,-55.1117027323936,-56.89412617108926,-62.182453061843326,-57.842840178314106,-56.83838079129844,-56.4257163184575
2018-01-22,-28.95312891271728,-30.16972726599824,-28.468321940735738,-26.868805383782338,-26.212995768419884,-27.58275057726225,-29.996780763679013,-28.18493555432198,-29.795156737602436,-27.74142125087162,-28.14056600826621,-29.776336318502086,-28.584186805088564,-28.11863546670101,-29.490830701820137,-29.42817653764054,-30.161276939905243,-29.079329275429323,-27.274261617752913,-29.000201181073404,-33.96990092714149,-29.761326399420813,-28.85791874618451,-27.32867013332142
2018-01-23,99.10058708677818,92.25046208892624,96.23664449721213,104.83189197630502,97.30964904261786,102.34501008475634,93.07518262017776,97.34979266873383,93.53821996793593,99.68033099602441,97.71402638824682,96.04562233777949,98.93130027372236,100.37045503595392,95.86713721812374,97.14887895459763,95.96347823546817,96.91914654673518,98.57330287875487,97.4998917366442,92.88617171675538,97.15916788929799,100.53306634275225,104.4847572979332
2018-01-24,131.1968724285753,124.60156177706637,129.9493404447712,138.66308374736212,130.46400277447748,136.24681284942844,125.72183673365454,131.46806045973528,124.8333651057486,132.06807935629536,130.38885377308165,127.09313452128295,132.86059044730914,133.13289308178068,128.5926978573806,130.35753850059845,129.31527574665466,129.78573137521838,132.13859880997373,129.8132257114219,126.33076887980394,130.1231523549716,133.7163496311805,134.0941464783822
